order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,payment_sequential,payment_type,payment_installments,payment_value,product_category_name,product_name_length,product_description_length,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,order_month,delivery_days,total_order_value,customer_type,product_category_name_english
000229ec398224ef6ca0657da4fc703e,6489ae5e4333f3693df5ad4372dab6d3,delivered,2018-01-14 14:33:00,2018-01-14 14:48:00,2018-01-16 12:36:00,2018-01-22 13:19:00,2018-02-05,3818d81c6709e39d06b2738a8d3a2474,35661,para de minas,MG,1.0,c777355d18b72b67abbeef9df44fd0fd,5b51032eddd242adc84c38acab88f23d,2018-01-18 14:48:00,199.0,17.87,1.0,credit_card,5.0,216.87,moveis_decoracao,59.0,695.0,2,3050.0,33.0,13.0,33.0,2018-01,7.0,216.87,One-time,furniture_decor
00024acbcdf0a6daa1e931b038114c75,d4eb9395c8c0431ee92fce09860c5a06,delivered,2018-08-08 10:00:00,2018-08-08 10:10:00,2018-08-10 13:28:00,2018-08-14 13:32:00,2018-08-20,af861d436cfc08b2c2ddefd0ba074622,12952,atibaia,SP,1.0,7634da152a4610f1595efa32f14722fc,9d7a1d34a5052409006425275ba1c2b4,2018-08-15 10:10:00,12.99,12.79,1.0,credit_card,2.0,25.78,perfumaria,42.0,480.0,1,200.0,16.0,10.0,15.0,2018-08,6.0,25.78,One-time,perfumery
00048cc3ae777c65dbb7d2a0634bc1ea,816cbea969fe5b689b39cfc97a506742,delivered,2017-05-15 21:42:00,2017-05-17 03:55:00,2017-05-17 11:05:00,2017-05-22 13:44:00,2017-06-06,85c835d128beae5b4ce8602c491bf385,38017,uberaba,MG,1.0,ef92defde845ab8450f9d70c526ef70f,6426d21aca402a131fc0a5d0960a3c90,2017-05-23 03:55:00,21.9,12.69,1.0,boleto,1.0,34.59,utilidades_domesticas,36.0,558.0,1,450.0,24.0,8.0,15.0,2017-05,6.0,34.589999999999996,One-time,housewares
00054e8431b9d7675808bcb819fb4a32,32e2e6ab09e778d99bf2e0ecd4898718,delivered,2017-12-10 11:53:00,2017-12-10 12:10:00,2017-12-12 01:07:00,2017-12-18 22:03:00,2018-01-04,635d9ac1680f03288e72ada3a1035803,16700,guararapes,SP,1.0,8d4f2bb7e93e6710a28f34fa83ee7d28,7040e82f899a04d1b434b795a43b4617,2017-12-14 12:10:00,19.9,11.85,1.0,credit_card,1.0,31.75,telefonia,52.0,815.0,1,200.0,27.0,5.0,20.0,2017-12,8.0,31.75,One-time,telephony
000576fe39319847cbb9d288c5617fa6,9ed5e522dd9dd85b4af4a077526d8117,delivered,2018-07-04 12:08:00,2018-07-05 16:35:00,2018-07-05 12:15:00,2018-07-09 14:04:00,2018-07-25,fda4476abb6307ab3c415b7e6d026526,11702,praia grande,SP,1.0,557d850972a7d6f792fd18ae1400d9b6,5996cddab893a4652a15592fb58ab8db,2018-07-10 12:30:00,810.0,70.75,1.0,credit_card,10.0,880.75,ferramentas_jardim,39.0,1310.0,3,13805.0,35.0,75.0,45.0,2018-07,5.0,880.75,One-time,garden_tools
0005f50442cb953dcd1d21e1fb923495,351d3cb2cee3c7fd0af6616c82df21d3,delivered,2018-07-02 13:59:00,2018-07-02 14:10:00,2018-07-03 14:25:00,2018-07-04 17:28:00,2018-07-23,0782c41380992a5a533489063df0eef6,6636,jandira,SP,1.0,4535b0e1091c278dfd193e5a1d63b39f,ba143b05f0110f0dc71ad71b4466ce92,2018-07-06 14:10:00,53.99,11.4,1.0,credit_card,1.0,65.39,livros_tecnicos,52.0,1192.0,1,850.0,29.0,3.0,21.0,2018-07,2.0,65.39,One-time,books_technical
00061f2a7bc09da83e415a52dc8a4af1,c6fc061d86fab1e2b2eac259bac71a49,delivered,2018-03-24 22:16:00,2018-03-24 22:28:00,2018-03-27 05:26:00,2018-03-29 00:04:00,2018-04-09,107e6259485efac66428a56f10801f4f,13419,piracicaba,SP,1.0,d63c1011f49d98b976c352955b1c4bea,cc419e0650a3c5ba77189a1882b7556a,2018-03-29 22:28:00,59.99,8.88,1.0,credit_card,3.0,68.87,beleza_saude,57.0,614.0,1,950.0,35.0,25.0,20.0,2018-03,4.0,68.87,One-time,health_beauty
00063b381e2406b52ad429470734ebd5,6a899e55865de6549a58d2c6845e5604,delivered,2018-07-27 17:21:00,2018-07-27 18:00:00,2018-07-30 14:52:00,2018-08-07 13:56:00,2018-08-07,3fb97204945ca0c01bcf3eee6031c5f1,15910,monte alto,SP,1.0,f177554ea93259a5b282f24e33f65ab6,8602a61d680a10a82cceeeda0d99ea3d,2018-07-31 17:30:00,45.0,12.98,1.0,credit_card,5.0,57.98,fashion_bolsas_e_acessorios,35.0,60.0,1,200.0,16.0,16.0,11.0,2018-07,10.0,57.980000000000004,One-time,fashion_bags_accessories
0006ec9db01a64e59a68b2c340bf65a7,5d178120c29c61748ea95bac23cb8f25,delivered,2018-07-24 17:04:00,2018-07-24 17:24:00,2018-07-25 11:02:00,2018-07-31 01:04:00,2018-08-22,7ed0ea20347f67fe61d1c99fdf8556ae,21810,rio de janeiro,RJ,1.0,99a4788cb24856965c36a24e339b6058,4a3ca9315b744ce9f8e9374361493884,2018-07-26 17:24:00,74.0,23.32,1.0,credit_card,4.0,97.32,cama_mesa_banho,54.0,245.0,1,1383.0,50.0,10.0,40.0,2018-07,6.0,97.32,One-time,bed_bath_table
0009c9a17f916a706d71784483a5d643,8a250edc40ebc5c3940ebc940f16a7eb,delivered,2018-04-25 09:10:00,2018-04-25 09:33:00,2018-04-27 15:14:00,2018-04-30 17:54:00,2018-05-09,6062db572f3ef38b7a8ff4307abbfad3,13044,campinas,SP,1.0,3f27ac8e699df3d300ec4a5d8c5cf0b2,fcb5ace8bcc92f75707dc0f01a27d269,2018-05-02 09:31:00,639.0,11.34,1.0,credit_card,6.0,650.34,consoles_games,37.0,1172.0,2,200.0,16.0,5.0,12.0,2018-04,5.0,650.34,One-time,consoles_games
